Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/21  01:00:00,7632505.093623514,7632505.093623517,29527330.56144903 
 01/21  02:00:00,7253393.141522532,7253393.141522534,23848770.377419447 
 01/21  03:00:00,7581886.420030485,7581886.420030486,30762795.369847597 
 01/21  04:00:00,7259948.8574033849,7259948.857403386,23864010.412859564 
 01/21  05:00:00,7588152.243825573,7588152.243825575,30778491.17086187 
 01/21  06:00:00,7261603.060867456,7261603.060867457,23863494.640525436 
 01/21  07:00:00,8781979.21082304,8781979.210823045,30780802.615113256 
 01/21  08:00:00,6773991.897697696,6773991.897697696,17730247.14971014 
 01/21  09:00:00,6873192.900051575,6873192.900051575,21997344.433026345 
 01/21  10:00:00,6391226.872089517,6391226.872089516,17735371.08294379 
 01/21  11:00:00,6848689.341346467,6848689.341346466,21885345.693391056 
 01/21  12:00:00,6383813.6300859539,6383813.630085953,17719173.369842575 
 01/21  13:00:00,6839187.585544689,6839187.585544688,21901860.44011941 
 01/21  14:00:00,6380424.807915534,6380424.807915533,17733798.546919418 
 01/21  15:00:00,6833759.914531214,6833759.914531213,21822511.49811681 
 01/21  16:00:00,6378142.179955928,6378142.179955927,17666494.71397026 
 01/21  17:00:00,7563321.704495045,7563321.704495044,21834684.2817875 
 01/21  18:00:00,8577076.314176534,8577076.314176534,17637098.84260618 
 01/21  19:00:00,8927541.80607051,8927541.80607051,29142365.549430476 
 01/21  20:00:00,7643093.14158481,7643093.14158481,23723012.4199904 
 01/21  21:00:00,7964394.8445845129,7964394.8445845129,30683166.523949416 
 01/21  22:00:00,7646448.520434195,7646448.520434195,23828759.854439144 
 01/21  23:00:00,7972582.599692793,7972582.599692794,30722527.34273312 
 01/21  24:00:00,7649087.146796931,7649087.146796932,23835343.76906019 
 07/21  01:00:00,40041421.65829513,40041421.658295128,0.0 
 07/21  02:00:00,38732460.24387978,38732460.24387978,0.0 
 07/21  03:00:00,40049359.80792908,40049359.80792908,0.0 
 07/21  04:00:00,38518864.65906467,38518864.65906467,0.0 
 07/21  05:00:00,39386838.23896769,39386838.23896769,0.0 
 07/21  06:00:00,37002956.29281761,37002956.2928176,0.0 
 07/21  07:00:00,43369752.0661517,43369752.06615169,0.0 
 07/21  08:00:00,43767698.01649867,43767698.01649867,0.0 
 07/21  09:00:00,44985539.80830982,44985539.80830982,0.0 
 07/21  10:00:00,45757454.56133985,45757454.56133985,0.0 
 07/21  11:00:00,46389297.12582716,46389297.125827159,0.0 
 07/21  12:00:00,47022053.03787284,47022053.03787283,0.0 
 07/21  13:00:00,47601065.926170397,47601065.926170397,0.0 
 07/21  14:00:00,48064146.231350038,48064146.23135004,0.0 
 07/21  15:00:00,48554911.223299767,48554911.223299767,0.0 
 07/21  16:00:00,48466186.78241361,48466186.7824136,0.0 
 07/21  17:00:00,48308393.6463024,48308393.646302398,0.0 
 07/21  18:00:00,47998397.8588517,47998397.8588517,0.0 
 07/21  19:00:00,48167038.36670056,48167038.36670056,0.0 
 07/21  20:00:00,43639654.006293248,43639654.006293248,0.0 
 07/21  21:00:00,41222328.16420698,41222328.16420698,0.0 
 07/21  22:00:00,42464596.07917216,42464596.07917216,0.0 
 07/21  23:00:00,39790892.62637945,39790892.626379448,0.0 
 07/21  24:00:00,41069136.79242585,41069136.79242585,0.0 
 01/01  01:00:00,6404338.596677196,6404338.596677196,0.0 
