Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 12/21  01:00:00,8891616.014139649,8891616.014139649,27690805.418337455 
 12/21  02:00:00,8021290.865522696,8021290.865522696,22132853.23693824 
 12/21  03:00:00,8996217.881604173,8996217.881604173,25495145.10807542 
 12/21  04:00:00,8021290.865522696,8021290.865522696,22140792.479507466 
 12/21  05:00:00,8996217.881604173,8996217.881604173,25497258.538062164 
 12/21  06:00:00,8021290.865522696,8021290.865522696,22137865.370393818 
 12/21  07:00:00,10187817.881604173,10187817.881604173,25492639.534265903 
 12/21  08:00:00,7610003.338107826,7610003.338107826,21285921.637340946 
 12/21  09:00:00,7722593.1100599509,7722593.11005995,25777130.19967374 
 12/21  10:00:00,6886935.707554397,6886935.707554396,20801841.501786248 
 12/21  11:00:00,7740122.023364442,7740122.0233644419,25737084.585337376 
 12/21  12:00:00,6895141.014677965,6895141.014677965,20800667.318530203 
 12/21  13:00:00,7762800.285423327,7762800.285423327,25765242.60248791 
 12/21  14:00:00,6902894.770742538,6902894.770742537,20820354.96644196 
 12/21  15:00:00,7763241.671508761,7763241.671508759,25731824.649330435 
 12/21  16:00:00,6896313.300911688,6896313.300911687,20789499.76545827 
 12/21  17:00:00,8861507.402272352,8861507.40227235,25744992.338842464 
 12/21  18:00:00,9093850.629767983,9093850.629767983,20782793.443125115 
 12/21  19:00:00,10096303.92318552,10096303.92318552,26667622.14686856 
 12/21  20:00:00,8410990.865584974,8410990.865584974,22109182.77538594 
 12/21  21:00:00,9385917.881666452,9385917.881666452,25500842.782658779 
 12/21  22:00:00,8410990.865584974,8410990.865584974,22153508.013471474 
 12/21  23:00:00,9385917.881604173,9385917.881604175,25501090.31563408 
 12/21  24:00:00,8410990.865522696,8410990.865522696,22143415.503096675 
 07/21  01:00:00,40917385.93389724,40917385.93389724,0.0 
 07/21  02:00:00,38350761.15443896,38350761.15443896,0.0 
 07/21  03:00:00,39794428.83146901,39794428.83146901,0.0 
 07/21  04:00:00,38265396.00350266,38265396.00350266,0.0 
 07/21  05:00:00,39371707.96767104,39371707.96767104,0.0 
 07/21  06:00:00,37140414.6800093,37140414.6800093,0.0 
 07/21  07:00:00,44044879.81033246,44044879.81033246,0.0 
 07/21  08:00:00,43126637.59103276,43126637.59103277,0.0 
 07/21  09:00:00,44066233.28136631,44066233.2813663,0.0 
 07/21  10:00:00,45194785.43152335,45194785.43152335,0.0 
 07/21  11:00:00,46194696.82623862,46194696.82623862,0.0 
 07/21  12:00:00,47263630.647930588,47263630.64793058,0.0 
 07/21  13:00:00,48173589.50441159,48173589.504411589,0.0 
 07/21  14:00:00,48940202.34396891,48940202.343968909,0.0 
 07/21  15:00:00,49629120.74896456,49629120.74896456,0.0 
 07/21  16:00:00,49588537.92544568,49588537.925445679,0.0 
 07/21  17:00:00,49261554.236429218,49261554.236429218,0.0 
 07/21  18:00:00,48681180.53690967,48681180.53690967,0.0 
 07/21  19:00:00,48062234.83526714,48062234.83526714,0.0 
 07/21  20:00:00,43247197.1726872,43247197.1726872,0.0 
 07/21  21:00:00,41233753.29613679,41233753.29613679,0.0 
 07/21  22:00:00,43113318.71528674,43113318.71528673,0.0 
 07/21  23:00:00,39732449.498289797,39732449.498289797,0.0 
 07/21  24:00:00,43221547.329594019,43221547.32959401,0.0 
 01/01  01:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  02:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  03:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  04:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  05:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  06:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  07:00:00,7595938.596677196,7595938.596677195,0.0 
 01/01  08:00:00,6128818.596677196,6128818.596677195,0.0 
 01/01  09:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  10:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  11:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  12:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  13:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  14:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  15:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  16:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  17:00:00,6128818.596677196,6128818.596677196,0.0 
 01/01  18:00:00,7595938.596677196,7595938.596677195,0.0 
 01/01  19:00:00,7595938.596677196,7595938.596677195,0.0 
 01/01  20:00:00,6794038.596677196,6794038.596677196,0.0 
 01/01  21:00:00,6794038.596677196,6794038.596677196,0.0 
 01/01  22:00:00,6794038.596677196,6794038.596677196,0.0 
 01/01  23:00:00,6794038.596677196,6794038.596677196,0.0 
 01/01  24:00:00,6794038.596677196,6794038.596677196,0.0 
 01/02  01:00:00,9469604.825749658,9469604.825749658,0.0 
 01/02  02:00:00,9469604.825749658,9469604.825749658,0.0 
 01/02  03:00:00,9469604.825749658,9469604.825749658,0.0 
 01/02  04:00:00,9469604.825749658,9469604.825749658,0.0 
 01/02  05:00:00,9469604.825749658,9469604.825749658,0.0 
 01/02  06:00:00,9469604.825749658,9469604.825749658,0.0 
 01/02  07:00:00,33395507.32110006,33395507.321100058,5877130.26368867 
 01/02  08:00:00,39135723.91417525,39135723.91417525,7398694.73288506 
 01/02  09:00:00,39549379.16576905,39549379.16576905,0.0 
 01/02  10:00:00,34821060.28102092,34821060.281020928,0.0 
 01/02  11:00:00,32149191.707944059,32149191.707944059,0.0 
 01/02  12:00:00,30543135.54911883,30543135.54911883,0.0 
 01/02  13:00:00,30240391.10483151,30240391.104831514,0.0 
 01/02  14:00:00,30824334.47247895,30824334.47247895,0.0 
 01/02  15:00:00,30726873.5458988,30726873.545898796,0.0 
 01/02  16:00:00,30660099.248494779,30660099.248494779,0.0 
 01/02  17:00:00,32761960.63775336,32761960.63775336,0.0 
 01/02  18:00:00,27757387.864343995,27757387.864343995,0.0 
 01/02  19:00:00,25620980.739266389,25620980.739266386,0.0 
 01/02  20:00:00,11853154.258345897,11853154.258345895,0.0 
 01/02  21:00:00,10637784.395628443,10637784.395628443,0.0 
 01/02  22:00:00,10637784.395628443,10637784.395628443,0.0 
 01/02  23:00:00,9543951.519120457,9543951.519120455,0.0 
 01/02  24:00:00,7197449.08321209,7197449.08321209,0.0 
 01/03  01:00:00,9469604.825749658,9469604.825749658,0.0 
 01/03  02:00:00,9469604.825749658,9469604.825749658,0.0 
 01/03  03:00:00,9469604.825749658,9469604.825749658,0.0 
 01/03  04:00:00,9469604.825749658,9469604.825749658,0.0 
 01/03  05:00:00,9469604.825749658,9469604.825749658,0.0 
 01/03  06:00:00,9469604.825749658,9469604.825749658,0.0 
 01/03  07:00:00,31071011.732625467,31071011.732625467,4382942.445451826 
 01/03  08:00:00,36529519.71350037,36529519.71350037,7901799.174718374 
 01/03  09:00:00,35710768.08481195,35710768.08481195,0.0 
 01/03  10:00:00,31971378.634540216,31971378.634540216,0.0 
 01/03  11:00:00,30838917.30415605,30838917.30415605,0.0 
 01/03  12:00:00,29799138.8597821,29799138.8597821,0.0 
 01/03  13:00:00,27828679.229607688,27828679.22960768,0.0 
 01/03  14:00:00,30483948.457105355,30483948.457105355,0.0 
 01/03  15:00:00,30445543.64910299,30445543.64910299,0.0 
 01/03  16:00:00,30486307.115796329,30486307.115796329,0.0 
 01/03  17:00:00,31905144.32249517,31905144.32249517,0.0 
 01/03  18:00:00,23894423.909541586,23894423.90954158,0.0 
 01/03  19:00:00,19247843.03020638,19247843.03020638,0.0 
 01/03  20:00:00,11853154.258345897,11853154.258345895,0.0 
 01/03  21:00:00,10637784.395628443,10637784.395628443,0.0 
 01/03  22:00:00,10637784.395628443,10637784.395628443,0.0 
 01/03  23:00:00,9543951.519120457,9543951.519120455,0.0 
 01/03  24:00:00,7197449.08321209,7197449.08321209,0.0 
 01/04  01:00:00,9469604.825749658,9469604.825749658,0.0 
 01/04  02:00:00,9469604.825749658,9469604.825749658,0.0 
 01/04  03:00:00,9469604.825749658,9469604.825749658,0.0 
 01/04  04:00:00,9469604.825749658,9469604.825749658,0.0 
 01/04  05:00:00,9469604.825749658,9469604.825749658,0.0 
 01/04  06:00:00,9469604.825749658,9469604.825749658,0.0 
 01/04  07:00:00,24543833.399898016,24543833.39989802,1817820.7671864464 
 01/04  08:00:00,27523002.116155,27523002.11615499,0.0 
 01/04  09:00:00,30155597.220100795,30155597.220100795,0.0 
 01/04  10:00:00,29746005.54175961,29746005.54175961,0.0 
 01/04  11:00:00,29955529.66473385,29955529.664733855,0.0 
 01/04  12:00:00,30813045.609376089,30813045.609376097,0.0 
 01/04  13:00:00,29103794.702471913,29103794.702471906,0.0 
 01/04  14:00:00,32517282.354926554,32517282.354926558,0.0 
 01/04  15:00:00,33191228.795049639,33191228.795049635,0.0 
 01/04  16:00:00,33247104.432090887,33247104.432090895,0.0 
 01/04  17:00:00,33973092.03110504,33973092.03110504,0.0 
 01/04  18:00:00,23842511.88476963,23842511.88476963,0.0 
 01/04  19:00:00,17918421.957228334,17918421.95722833,0.0 
 01/04  20:00:00,10953154.258345897,10953154.258345895,0.0 
 01/04  21:00:00,9737784.395628443,9737784.395628443,0.0 
 01/04  22:00:00,9737784.395628443,9737784.395628443,0.0 
 01/04  23:00:00,8643951.519120457,8643951.519120455,0.0 
 01/04  24:00:00,7047449.08321209,7047449.08321209,0.0 
 01/05  01:00:00,9469604.825749658,9469604.825749658,0.0 
 01/05  02:00:00,9469604.825749658,9469604.825749658,0.0 
