Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 12/21  01:00:00,9035553.258498928,9035553.25849893,30783459.257312016 
 12/21  02:00:00,8259008.4612683,8259008.4612683,25927703.1271834 
 12/21  03:00:00,9292913.50453174,9292913.50453174,30304336.11377755 
 12/21  04:00:00,8259008.4612683,8259008.4612683,26267492.487635103 
 12/21  05:00:00,9292913.50453174,9292913.50453174,30472684.874091794 
 12/21  06:00:00,8259008.4612683,8259008.4612683,26327540.076767308 
 12/21  07:00:00,10484513.50453174,10484513.504531738,30508405.260140744 
 12/21  08:00:00,7983488.461330578,7983488.461330578,24035147.07945417 
 12/21  09:00:00,8283833.504594017,8283833.504594017,27456226.83988826 
 12/21  10:00:00,7249928.461330578,7249928.461330578,24026395.47270254 
 12/21  11:00:00,8283833.504594017,8283833.504594017,27443193.59803262 
 12/21  12:00:00,7249928.461330578,7249928.461330578,24042215.694081248 
 12/21  13:00:00,8283833.504594017,8283833.504594017,27488480.895247695 
 12/21  14:00:00,7249928.461330578,7249928.461330578,24077983.1489061 
 12/21  15:00:00,8283833.504594017,8283833.504594017,27464946.036961356 
 12/21  16:00:00,7249928.461330578,7249928.461330578,24047025.129647878 
 12/21  17:00:00,9384173.504594017,9384173.504594017,27480512.42530278 
 12/21  18:00:00,9450608.461330574,9450608.461330574,24044915.91841328 
 12/21  19:00:00,10484513.504594015,10484513.504594015,30314784.232812279 
 12/21  20:00:00,8648708.461330576,8648708.461330578,26370910.028981449 
 12/21  21:00:00,9682613.504594015,9682613.504594017,30580953.304439188 
 12/21  22:00:00,8648708.461330576,8648708.461330578,26413894.03125908 
 12/21  23:00:00,9682613.50453174,9682613.50453174,30581852.273241987 
 12/21  24:00:00,8648708.4612683,8648708.4612683,26404468.714407967 
 07/21  01:00:00,39833790.5642391,39833790.56423909,0.0 
 07/21  02:00:00,38413876.007700737,38413876.007700737,0.0 
 07/21  03:00:00,39631748.47796962,39631748.47796962,0.0 
 07/21  04:00:00,38128808.45847565,38128808.45847565,0.0 
 07/21  05:00:00,39179226.033482428,39179226.033482428,0.0 
 07/21  06:00:00,36926781.74874744,36926781.74874744,0.0 
 07/21  07:00:00,44463761.0428192,44463761.0428192,0.0 
