Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 12/21  01:00:00,16786082.833679696,16786082.833679696,5040199.147087852 
 12/21  02:00:00,15634860.360440586,15634860.360440586,2575266.9623107959 
 12/21  03:00:00,16427002.746243582,16427002.746243582,5144578.789197559 
 12/21  04:00:00,15692507.69500349,15692507.695003488,2568503.8472653545 
 12/21  05:00:00,16463739.897106635,16463739.897106637,5128746.700007928 
 12/21  06:00:00,15693545.855599322,15693545.85559932,2560148.6874364304 
 12/21  07:00:00,17655128.662218438,17655128.662218438,5111916.486890113 
 12/21  08:00:00,15145921.395525303,15145921.3955253,2471645.6111206046 
 12/21  09:00:00,16098699.904120179,16098699.904120179,2366181.833840117 
 12/21  10:00:00,16083012.640073482,16083012.64007348,2383327.8268550175 
 12/21  11:00:00,17983612.3647203,17983612.3647203,2505501.998527296 
 12/21  12:00:00,17397510.81320314,17397510.81320314,555538.9055366934 
 12/21  13:00:00,18117492.5520595,18117492.5520595,2516486.2990447727 
 12/21  14:00:00,15993444.531838673,15993444.531838673,2670187.006885701 
 12/21  15:00:00,17992889.99869005,17992889.99869005,2523038.1072451618 
 12/21  16:00:00,17403247.868468655,17403247.868468655,588176.4391655808 
 12/21  17:00:00,18124050.18150649,18124050.18150649,2527985.559061103 
 12/21  18:00:00,17828262.23049199,17828262.23049199,2680475.5398343086 
 12/21  19:00:00,20955569.14637706,20955569.14637706,2684016.923912144 
 12/21  20:00:00,18203411.439444338,18203411.439444338,2756668.6039105195 
 12/21  21:00:00,18947171.90976148,18947171.909761479,4778548.362233223 
 12/21  22:00:00,18219479.13443216,18219479.13443216,2746039.6458610666 
 12/21  23:00:00,18955020.18257677,18955020.18257677,4769769.740823304 
 12/21  24:00:00,18221303.67103182,18221303.671031819,2722328.225847195 
 07/21  01:00:00,42546958.43809402,42546958.43809402,0.0 
 07/21  02:00:00,40601846.45296332,40601846.45296332,0.0 
 07/21  03:00:00,42174215.49018504,42174215.490185048,0.0 
 07/21  04:00:00,40189593.65813139,40189593.6581314,0.0 
 07/21  05:00:00,43660603.45129705,43660603.45129705,0.0 
 07/21  06:00:00,40113748.04833956,40113748.04833956,0.0 
 07/21  07:00:00,47288719.086355138,47288719.086355138,0.0 
 07/21  08:00:00,46877590.169421669,46877590.16942167,0.0 
 07/21  09:00:00,48445104.6640056,48445104.6640056,0.0 
 07/21  10:00:00,50386028.392083089,50386028.39208311,0.0 
 07/21  11:00:00,52122707.93070561,52122707.93070562,0.0 
 07/21  12:00:00,53483413.03586818,53483413.03586819,0.0 
 07/21  13:00:00,54744184.95122257,54744184.95122257,0.0 
 07/21  14:00:00,55549163.2673464,55549163.2673464,0.0 
 07/21  15:00:00,55956797.92163286,55956797.92163287,0.0 
 07/21  16:00:00,56269741.69743942,56269741.69743944,0.0 
 07/21  17:00:00,55850273.72703727,55850273.72703728,0.0 
 07/21  18:00:00,54985024.98109716,54985024.98109718,0.0 
 07/21  19:00:00,54127586.810891438,54127586.81089145,0.0 
 07/21  20:00:00,48222010.264980789,48222010.26498078,0.0 
 07/21  21:00:00,45019606.61117439,45019606.61117439,0.0 
 07/21  22:00:00,47110797.898462239,47110797.89846223,0.0 
 07/21  23:00:00,42482709.56917442,42482709.56917442,0.0 
 07/21  24:00:00,43870932.237346339,43870932.237346339,0.0 
 01/01  01:00:00,5504338.596677196,5504338.596677196,0.0 
 01/01  02:00:00,5504338.596677196,5504338.596677196,0.0 
 01/01  03:00:00,5504338.596677196,5504338.596677196,0.0 
 01/01  04:00:00,5504338.596677196,5504338.596677196,0.0 
 01/01  05:00:00,5504338.596677196,5504338.596677196,0.0 
 01/01  06:00:00,5504338.596677196,5504338.596677196,0.0 
 01/01  07:00:00,6695938.596677196,6695938.596677196,0.0 
 01/01  08:00:00,5595598.596677196,5595598.596677196,0.0 
 01/01  09:00:00,4495258.596677196,4495258.596677197,0.0 
 01/01  10:00:00,4495258.596677196,4495258.596677197,0.0 
 01/01  11:00:00,4495258.596677196,4495258.596677196,0.0 
 01/01  12:00:00,4495258.596677196,4495258.596677196,0.0 
 01/01  13:00:00,4495258.596677196,4495258.596677197,0.0 
 01/01  14:00:00,4495258.596677196,4495258.596677196,0.0 
 01/01  15:00:00,4495258.596677196,4495258.596677196,0.0 
 01/01  16:00:00,4495258.596677196,4495258.596677196,0.0 
 01/01  17:00:00,4495258.596677196,4495258.596677197,0.0 
 01/01  18:00:00,5962378.596677196,5962378.596677196,0.0 
 01/01  19:00:00,6695938.596677196,6695938.596677196,0.0 
 01/01  20:00:00,5894038.596677196,5894038.596677195,0.0 
 01/01  21:00:00,5894038.596677196,5894038.596677196,0.0 
 01/01  22:00:00,5894038.596677196,5894038.596677196,0.0 
 01/01  23:00:00,5894038.596677196,5894038.596677196,0.0 
 01/01  24:00:00,5894038.596677196,5894038.596677196,0.0 
 01/02  01:00:00,8569604.825749658,8569604.825749658,0.0 
 01/02  02:00:00,8569604.825749658,8569604.825749658,0.0 
 01/02  03:00:00,8569604.825749658,8569604.825749658,0.0 
 01/02  04:00:00,8569604.825749658,8569604.825749658,0.0 
 01/02  05:00:00,8569604.825749658,8569604.825749658,0.0 
 01/02  06:00:00,8569604.825749658,8569604.825749658,0.0 
 01/02  07:00:00,19868050.763927346,19868050.763927346,0.0 
 01/02  08:00:00,21960780.578287327,21960780.578287327,0.0 
 01/02  09:00:00,30277333.969396376,30277333.969396384,0.0 
 01/02  10:00:00,29596752.67741426,29596752.67741427,0.0 
 01/02  11:00:00,29838219.889096999,29838219.889096999,0.0 
 01/02  12:00:00,30616004.074555927,30616004.074555935,0.0 
 01/02  13:00:00,28064982.83459977,28064982.83459977,0.0 
 01/02  14:00:00,31350014.69610763,31350014.696107635,0.0 
 01/02  15:00:00,32071985.783622587,32071985.783622587,0.0 
 01/02  16:00:00,32640830.427693249,32640830.427693249,0.0 
 01/02  17:00:00,32915411.337763277,32915411.337763285,0.0 
 01/02  18:00:00,23056685.37166501,23056685.37166501,0.0 
 01/02  19:00:00,17637694.072561947,17637694.072561943,0.0 
 01/02  20:00:00,10953154.258345897,10953154.258345895,0.0 
 01/02  21:00:00,9737784.395628443,9737784.395628443,0.0 
 01/02  22:00:00,9737784.395628443,9737784.395628443,0.0 
 01/02  23:00:00,8643951.519120457,8643951.519120455,0.0 
 01/02  24:00:00,6297449.08321209,6297449.08321209,0.0 
 01/03  01:00:00,8569604.825749658,8569604.825749658,0.0 
 01/03  02:00:00,8569604.825749658,8569604.825749658,0.0 
 01/03  03:00:00,8569604.825749658,8569604.825749658,0.0 
 01/03  04:00:00,8569604.825749658,8569604.825749658,0.0 
 01/03  05:00:00,8569604.825749658,8569604.825749658,0.0 
 01/03  06:00:00,8569604.825749658,8569604.825749658,0.0 
 01/03  07:00:00,19304929.187236098,19304929.187236098,0.0 
 01/03  08:00:00,22341284.13266081,22341284.132660815,0.0 
 01/03  09:00:00,29970356.54753968,29970356.54753968,0.0 
 01/03  10:00:00,29655000.84210565,29655000.842105658,0.0 
 01/03  11:00:00,30172053.15422033,30172053.15422033,0.0 
 01/03  12:00:00,30935214.791885429,30935214.791885429,0.0 
 01/03  13:00:00,28323733.031754719,28323733.03175472,0.0 
 01/03  14:00:00,31547384.522408319,31547384.52240832,0.0 
 01/03  15:00:00,32199465.36887586,32199465.36887587,0.0 
 01/03  16:00:00,32513022.17512857,32513022.175128577,0.0 
 01/03  17:00:00,33160989.90283874,33160989.90283874,0.0 
 01/03  18:00:00,23267965.38901823,23267965.38901823,0.0 
 01/03  19:00:00,17637694.072561947,17637694.072561943,0.0 
 01/03  20:00:00,10953154.258345897,10953154.258345895,0.0 
 01/03  21:00:00,9737784.395628443,9737784.395628443,0.0 
 01/03  22:00:00,9737784.395628443,9737784.395628443,0.0 
 01/03  23:00:00,8643951.519120457,8643951.519120455,0.0 
 01/03  24:00:00,6297449.08321209,6297449.08321209,0.0 
 01/04  01:00:00,8569604.825749658,8569604.825749658,0.0 
 01/04  02:00:00,8569604.825749658,8569604.825749658,0.0 
 01/04  03:00:00,8569604.825749658,8569604.825749658,0.0 
 01/04  04:00:00,8569604.825749658,8569604.825749658,0.0 
 01/04  05:00:00,8569604.825749658,8569604.825749658,0.0 
 01/04  06:00:00,8569604.825749658,8569604.825749658,0.0 
 01/04  07:00:00,20818287.193552168,20818287.193552168,0.0 
 01/04  08:00:00,23882770.163863023,23882770.163863023,0.0 
 01/04  09:00:00,29893122.48018687,29893122.48018687,0.0 
 01/04  10:00:00,29802954.43379856,29802954.43379856,0.0 
 01/04  11:00:00,30269806.432353666,30269806.432353677,0.0 
 01/04  12:00:00,31068355.56590268,31068355.565902689,0.0 
 01/04  13:00:00,28888827.0033992,28888827.0033992,0.0 
 01/04  14:00:00,33052674.98387763,33052674.983877634,0.0 
 01/04  15:00:00,34107487.29856426,34107487.29856426,0.0 
 01/04  16:00:00,34763513.45289915,34763513.45289915,0.0 
 01/04  17:00:00,34820294.000570829,34820294.000570829,0.0 
 01/04  18:00:00,23838460.17033384,23838460.17033384,0.0 
 01/04  19:00:00,17637694.072561947,17637694.072561947,0.0 
 01/04  20:00:00,10953154.258345897,10953154.258345895,0.0 
 01/04  21:00:00,9737784.395628443,9737784.395628443,0.0 
 01/04  22:00:00,9737784.395628443,9737784.395628443,0.0 
 01/04  23:00:00,8643951.519120457,8643951.519120455,0.0 
 01/04  24:00:00,6297449.08321209,6297449.08321209,0.0 
 01/05  01:00:00,8569604.825749658,8569604.825749658,0.0 
 01/05  02:00:00,8569604.825749658,8569604.825749658,0.0 
 01/05  03:00:00,8569604.825749658,8569604.825749658,0.0 
 01/05  04:00:00,8569604.825749658,8569604.825749658,0.0 
 01/05  05:00:00,8569604.825749658,8569604.825749658,0.0 
 01/05  06:00:00,8569604.825749658,8569604.825749658,0.0 
 01/05  07:00:00,20520464.775281226,20520464.775281226,0.0 
 01/05  08:00:00,24315897.115679135,24315897.11567913,0.0 
 01/05  09:00:00,29893122.48018687,29893122.48018687,0.0 
 01/05  10:00:00,29802954.43379856,29802954.43379856,0.0 
 01/05  11:00:00,30374510.15799672,30374510.15799673,0.0 
 01/05  12:00:00,31237087.588213665,31237087.588213669,0.0 
 01/05  13:00:00,28973410.8157823,28973410.8157823,0.0 
 01/05  14:00:00,33337002.26463306,33337002.264633065,0.0 
 01/05  15:00:00,34120428.030534397,34120428.030534397,0.0 
 01/05  16:00:00,34422625.98536092,34422625.98536092,0.0 
 01/05  17:00:00,34407621.76414283,34407621.76414284,0.0 
 01/05  18:00:00,23480037.20893308,23480037.20893308,0.0 
 01/05  19:00:00,17637694.072561947,17637694.072561943,0.0 
 01/05  20:00:00,10953154.258345897,10953154.258345895,0.0 
 01/05  21:00:00,9737784.395628443,9737784.395628443,0.0 
 01/05  22:00:00,9737784.395628443,9737784.395628443,0.0 
 01/05  23:00:00,8643951.519120457,8643951.519120455,0.0 
 01/05  24:00:00,6297449.08321209,6297449.08321209,0.0 
 01/06  01:00:00,8569604.825749658,8569604.825749658,0.0 
 01/06  02:00:00,8569604.825749658,8569604.825749658,0.0 
 01/06  03:00:00,8569604.825749658,8569604.825749658,0.0 
 01/06  04:00:00,8569604.825749658,8569604.825749658,0.0 
 01/06  05:00:00,8569604.825749658,8569604.825749658,0.0 
 01/06  06:00:00,8569604.825749658,8569604.825749658,0.0 
 01/06  07:00:00,21839247.91480456,21839247.914804557,0.0 
 01/06  08:00:00,25133121.85382812,25133121.85382812,0.0 
 01/06  09:00:00,30263155.535262605,30263155.535262605,0.0 
 01/06  10:00:00,29545202.238318188,29545202.238318199,0.0 
 01/06  11:00:00,29509773.629644738,29509773.62964474,0.0 
 01/06  12:00:00,30338100.278813714,30338100.27881372,0.0 
 01/06  13:00:00,28063007.946171777,28063007.946171777,0.0 
 01/06  14:00:00,32347735.786838838,32347735.78683885,0.0 
 01/06  15:00:00,33399481.264783574,33399481.264783577,0.0 
 01/06  16:00:00,34270641.872265297,34270641.872265297,0.0 
 01/06  17:00:00,34452353.54777515,34452353.54777515,0.0 
 01/06  18:00:00,23689047.05857091,23689047.05857091,0.0 
 01/06  19:00:00,17637694.072561947,17637694.072561943,0.0 
 01/06  20:00:00,10953154.258345897,10953154.258345895,0.0 
 01/06  21:00:00,9737784.395628443,9737784.395628443,0.0 
 01/06  22:00:00,9737784.395628443,9737784.395628443,0.0 
 01/06  23:00:00,8643951.519120457,8643951.519120455,0.0 
 01/06  24:00:00,6297449.08321209,6297449.08321209,0.0 
 01/07  01:00:00,5504338.596677196,5504338.596677196,0.0 
 01/07  02:00:00,5504338.596677196,5504338.596677196,0.0 
 01/07  03:00:00,5504338.596677196,5504338.596677196,0.0 
 01/07  04:00:00,5504338.596677196,5504338.596677196,0.0 
 01/07  05:00:00,5504338.596677196,5504338.596677196,0.0 
 01/07  06:00:00,5504338.596677196,5504338.596677196,0.0 
 01/07  07:00:00,6695938.596677196,6695938.596677196,0.0 
 01/07  08:00:00,5595598.596677196,5595598.596677196,0.0 
 01/07  09:00:00,4495258.596677196,4495258.596677197,0.0 
 01/07  10:00:00,4495258.596677196,4495258.596677196,0.0 
