Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 12/21  01:00:00,8452147.64242672,8452147.64242672,19381491.43429058 
 12/21  02:00:00,7946890.853607293,7946890.853607295,16094700.142438788 
 12/21  03:00:00,8886942.441296246,8886942.441296246,18258554.244821699 
 12/21  04:00:00,7947178.447754614,7947178.447754614,16238855.27779631 
 12/21  05:00:00,8887329.081105246,8887329.081105246,18322287.14160806 
 12/21  06:00:00,7947345.887642,7947345.887642,16259819.669151962 
 12/21  07:00:00,10079255.232434024,10079255.23243402,18330214.642180869 
 12/21  08:00:00,7527281.144404243,7527281.144404243,13891446.119861717 
 12/21  09:00:00,7583570.857127244,7583570.857127242,15213048.913481776 
 12/21  10:00:00,6789474.318794043,6789474.318794043,13814037.501824163 
 12/21  11:00:00,7580374.125447668,7580374.125447668,15199757.045197403 
 12/21  12:00:00,6788876.672763429,6788876.672763429,13827547.27825404 
 12/21  13:00:00,7579217.519438364,7579217.519438364,15247572.406184778 
 12/21  14:00:00,6788609.4638612,6788609.4638612,13861632.675386075 
 12/21  15:00:00,7579780.059141818,7579780.059141818,15221830.497319598 
 12/21  16:00:00,6789377.98544653,6789377.98544653,13827786.953126736 
 12/21  17:00:00,8745186.489626795,8745186.489626795,16301206.163873196 
 12/21  18:00:00,9053553.310606698,9053553.310606698,14882011.638639763 
 12/21  19:00:00,10068781.082054304,10068781.082054304,17880258.232673877 
 12/21  20:00:00,8336277.472492055,8336277.472492056,16260583.832173951 
 12/21  21:00:00,9275775.799585516,9275775.799585516,18370203.761691333 
 12/21  22:00:00,8336622.878153437,8336622.878153438,16302129.731934974 
 12/21  23:00:00,9276639.173741283,9276639.173741283,18364990.296857254 
 12/21  24:00:00,8336927.312169211,8336927.312169211,16290727.564893105 
 07/21  01:00:00,41034591.28203208,41034591.28203208,0.0 
 07/21  02:00:00,39321876.70590175,39321876.70590174,0.0 
 07/21  03:00:00,40028224.61496177,40028224.61496177,0.0 
 07/21  04:00:00,38464237.79121971,38464237.79121971,0.0 
 07/21  05:00:00,39640719.46685527,39640719.46685527,0.0 
 07/21  06:00:00,37363182.52677622,37363182.526776228,0.0 
